GPS time,X,Y,Z,Lat,Lon
2223:048776.000,2938712.510,2229644.164,5186003.360,54.75725775,37.18812245
2223:048776.200,2938712.507,2229644.158,5186003.363,54.75725778,37.18812245
2223:048776.400,2938712.496,2229644.137,5186003.376,54.75725783,37.18812241
2223:048776.600,2938712.481,2229644.116,5186003.390,54.75725806,37.18812226
2223:048776.800,2938712.466,2229644.074,5186003.404,54.75725831,37.18812213
2223:048777.000,2938712.433,2229644.044,5186003.438,54.75725866,37.18812175
2223:048777.200,2938712.405,2229644.003,5186003.465,54.75725916,37.18812170
2223:048777.400,2938712.395,2229643.974,5186003.474,54.75725964,37.18812145
2223:048777.600,2938712.374,2229643.931,5186003.500,54.75725988,37.18812119
2223:048777.800,2938712.375,2229643.894,5186003.509,54.75726033,37.18812085
2223:048778.000,2938712.355,2229643.866,5186003.552,54.75726053,37.18812038
2223:048778.200,2938712.340,2229643.802,5186003.592,54.75726099,37.18812023
2223:048778.400,2938712.351,2229643.826,5186003.585,54.75726158,37.18811958
2223:048778.600,2938712.359,2229643.826,5186003.580,54.75726137,37.18811977
2223:048778.800,2938712.360,2229643.820,5186003.576,54.75726130,37.18811969
2223:048779.000,2938712.360,2229643.819,5186003.573,54.75726130,37.18811960
2223:048779.200,2938712.358,2229643.811,5186003.572,54.75726129,37.18811960
2223:048779.400,2938712.352,2229643.801,5186003.568,54.75726132,37.18811952
2223:048779.600,2938712.324,2229643.751,5186003.606,54.75726139,37.18811946
2223:048779.800,2938712.289,2229643.696,5186003.662,54.75726197,37.18811910
2223:048780.000,2938712.241,2229643.607,5186003.715,54.75726270,37.18811874
2223:048780.200,2938712.198,2229643.530,5186003.759,54.75726366,37.18811809
2223:048780.400,2938712.164,2229643.467,5186003.807,54.75726448,37.18811754
2223:048780.600,2938712.121,2229643.401,5186003.859,54.75726520,37.18811708
2223:048780.800,2938712.088,2229643.347,5186003.891,54.75726602,37.18811666
2223:048781.000,2938712.067,2229643.300,5186003.909,54.75726662,37.18811631
2223:048781.200,2938712.056,2229643.273,5186003.932,54.75726704,37.18811594
2223:048781.400,2938712.042,2229643.244,5186003.964,54.75726735,37.18811570
2223:048781.600,2938712.043,2229643.221,5186003.974,54.75726772,37.18811547
2223:048781.800,2938712.075,2229643.212,5186003.964,54.75726787,37.18811518
2223:048782.000,2938712.090,2229643.222,5186003.952,54.75726767,37.18811476
2223:048782.200,2938712.136,2229643.239,5186003.916,54.75726747,37.18811474
2223:048782.400,2938712.186,2229643.259,5186003.876,54.75726695,37.18811452
2223:048782.600,2938712.233,2229643.267,5186003.846,54.75726635,37.18811431
2223:048782.800,2938712.275,2229643.282,5186003.810,54.75726589,37.18811397
2223:048783.000,2938712.307,2229643.290,5186003.780,54.75726539,37.18811374
2223:048783.200,2938712.355,2229643.307,5186003.747,54.75726502,37.18811356
2223:048783.400,2938712.418,2229643.324,5186003.705,54.75726449,37.18811331
2223:048783.600,2938712.476,2229643.337,5186003.672,54.75726383,37.18811293
2223:048783.800,2938712.546,2229643.362,5186003.633,54.75726326,37.18811255
2223:048784.000,2938712.618,2229643.383,5186003.598,54.75726254,37.18811220
2223:048784.200,2938712.692,2229643.394,5186003.558,54.75726184,37.18811178
2223:048784.400,2938712.744,2229643.397,5186003.532,54.75726115,37.18811122
2223:048784.600,2938712.805,2229643.404,5186003.490,54.75726070,37.18811077
2223:048784.800,2938712.850,2229643.402,5186003.458,54.75726009,37.18811029
2223:048785.000,2938712.880,2229643.411,5186003.437,54.75725968,37.18810983
2223:048785.200,2938712.941,2229643.414,5186003.411,54.75725935,37.18810967
2223:048785.400,2938712.986,2229643.419,5186003.383,54.75725885,37.18810913
2223:048785.600,2938712.980,2229643.427,5186003.385,54.75725841,37.18810877
2223:048785.800,2938712.993,2229643.411,5186003.381,54.75725843,37.18810892
2223:048786.000,2938712.993,2229643.409,5186003.382,54.75725840,37.18810861
2223:048786.200,2938712.993,2229643.418,5186003.380,54.75725842,37.18810858
2223:048786.400,2938712.994,2229643.424,5186003.381,54.75725837,37.18810869
2223:048786.600,2938712.996,2229643.427,5186003.382,54.75725833,37.18810876
2223:048786.800,2938712.994,2229643.425,5186003.384,54.75725832,37.18810877
2223:048787.000,2938712.994,2229643.421,5186003.378,54.75725835,37.18810878
2223:048787.200,2938712.989,2229643.417,5186003.379,54.75725834,37.18810872
2223:048787.400,2938712.988,2229643.415,5186003.382,54.75725839,37.18810872
2223:048787.600,2938712.986,2229643.413,5186003.383,54.75725842,37.18810871
2223:048787.800,2938712.985,2229643.413,5186003.383,54.75725844,37.18810869
2223:048788.000,2938712.987,2229643.415,5186003.383,54.75725845,37.18810870
2223:048788.200,2938712.986,2229643.411,5186003.383,54.75725843,37.18810871
2223:048788.400,2938712.986,2229643.413,5186003.382,54.75725845,37.18810867
2223:048788.600,2938712.986,2229643.410,5186003.381,54.75725843,37.18810869
2223:048788.800,2938712.986,2229643.409,5186003.380,54.75725844,37.18810866
2223:048789.000,2938712.986,2229643.410,5186003.379,54.75725845,37.18810865
2223:048789.200,2938712.989,2229643.411,5186003.379,54.75725843,37.18810865
2223:048789.400,2938712.989,2229643.410,5186003.382,54.75725841,37.18810865
2223:048789.600,2938712.990,2229643.411,5186003.384,54.75725843,37.18810863
2223:048789.800,2938712.992,2229643.412,5186003.385,54.75725844,37.18810863
2223:048790.000,2938712.993,2229643.413,5186003.388,54.75725843,37.18810863
2223:048790.200,2938712.990,2229643.411,5186003.381,54.75725842,37.18810863
2223:048790.400,2938712.991,2229643.411,5186003.380,54.75725842,37.18810863
2223:048790.600,2938712.991,2229643.411,5186003.378,54.75725840,37.18810862
2223:048790.800,2938712.991,2229643.410,5186003.378,54.75725840,37.18810862
2223:048791.000,2938712.991,2229643.411,5186003.379,54.75725840,37.18810862
2223:048791.200,2938712.990,2229643.413,5186003.379,54.75725840,37.18810863
2223:048791.400,2938712.989,2229643.414,5186003.379,54.75725840,37.18810866
2223:048791.600,2938712.988,2229643.414,5186003.380,54.75725840,37.18810868
2223:048791.800,2938712.988,2229643.414,5186003.381,54.75725841,37.18810869
2223:048792.000,2938712.988,2229643.415,5186003.379,54.75725841,37.18810869
2223:048792.200,2938712.987,2229643.415,5186003.377,54.75725840,37.18810871
2223:048792.400,2938712.989,2229643.415,5186003.376,54.75725839,37.18810871
2223:048792.600,2938712.987,2229643.413,5186003.377,54.75725838,37.18810869
2223:048792.800,2938712.989,2229643.414,5186003.378,54.75725840,37.18810868
2223:048793.000,2938712.989,2229643.413,5186003.379,54.75725839,37.18810867
2223:048793.200,2938712.990,2229643.415,5186003.379,54.75725840,37.18810867
2223:048793.400,2938712.991,2229643.417,5186003.380,54.75725839,37.18810868
2223:048793.600,2938712.990,2229643.417,5186003.381,54.75725838,37.18810870
2223:048793.800,2938712.992,2229643.418,5186003.380,54.75725839,37.18810871
2223:048794.000,2938712.990,2229643.418,5186003.380,54.75725837,37.18810871
2223:048794.200,2938712.989,2229643.418,5186003.378,54.75725838,37.18810873
2223:048794.400,2938712.989,2229643.418,5186003.377,54.75725838,37.18810873
2223:048794.600,2938712.987,2229643.417,5186003.374,54.75725838,37.18810873
2223:048794.800,2938712.987,2229643.418,5186003.375,54.75725837,37.18810873
2223:048795.000,2938712.988,2229643.419,5186003.375,54.75725837,37.18810875
2223:048795.200,2938712.989,2229643.419,5186003.377,54.75725836,37.18810875
2223:048795.400,2938712.990,2229643.419,5186003.377,54.75725836,37.18810874
2223:048795.600,2938712.990,2229643.417,5186003.377,54.75725836,37.18810873
2223:048795.800,2938712.990,2229643.417,5186003.378,54.75725837,37.18810871
2223:048796.000,2938712.992,2229643.418,5186003.379,54.75725838,37.18810871
2223:048796.200,2938712.992,2229643.419,5186003.385,54.75725837,37.18810870
2223:048796.400,2938712.992,2229643.419,5186003.387,54.75725839,37.18810871
2223:048796.600,2938712.992,2229643.420,5186003.389,54.75725839,37.18810872
