GPS time,X,Y,Z,Lat,Lon
2223:048420.400,2938716.528,2229636.075,5186004.973,54.75727851,37.18798465
2223:048420.600,2938716.529,2229636.074,5186004.973,54.75727852,37.18798464
2223:048420.800,2938716.528,2229636.074,5186004.974,54.75727852,37.18798463
2223:048421.000,2938716.528,2229636.075,5186004.975,54.75727853,37.18798463
2223:048421.200,2938716.528,2229636.076,5186004.973,54.75727853,37.18798464
2223:048421.400,2938716.527,2229636.076,5186004.973,54.75727852,37.18798465
2223:048421.600,2938716.528,2229636.076,5186004.973,54.75727852,37.18798466
2223:048421.800,2938716.529,2229636.076,5186004.972,54.75727852,37.18798465
2223:048422.000,2938716.529,2229636.076,5186004.972,54.75727851,37.18798465
2223:048422.200,2938716.526,2229636.075,5186004.970,54.75727851,37.18798465
2223:048422.400,2938716.526,2229636.074,5186004.969,54.75727852,37.18798466
2223:048422.600,2938716.525,2229636.073,5186004.968,54.75727852,37.18798465
2223:048422.800,2938716.525,2229636.073,5186004.970,54.75727852,37.18798464
2223:048423.000,2938716.526,2229636.073,5186004.969,54.75727853,37.18798464
2223:048423.200,2938716.524,2229636.073,5186004.968,54.75727852,37.18798464
2223:048423.400,2938716.525,2229636.072,5186004.968,54.75727853,37.18798465
2223:048423.600,2938716.526,2229636.073,5186004.969,54.75727852,37.18798464
2223:048423.800,2938716.524,2229636.072,5186004.969,54.75727852,37.18798463
2223:048424.000,2938716.524,2229636.071,5186004.969,54.75727854,37.18798464
2223:048424.200,2938716.524,2229636.071,5186004.967,54.75727854,37.18798463
2223:048424.400,2938716.524,2229636.073,5186004.970,54.75727853,37.18798463
2223:048424.600,2938716.525,2229636.073,5186004.970,54.75727853,37.18798465
2223:048424.800,2938716.525,2229636.074,5186004.971,54.75727854,37.18798464
2223:048425.000,2938716.526,2229636.073,5186004.971,54.75727853,37.18798466
2223:048425.200,2938716.526,2229636.071,5186004.972,54.75727853,37.18798464
2223:048425.400,2938716.527,2229636.073,5186004.972,54.75727854,37.18798462
2223:048425.600,2938716.526,2229636.072,5186004.973,54.75727853,37.18798462
2223:048425.800,2938716.527,2229636.072,5186004.973,54.75727854,37.18798463
2223:048426.000,2938716.527,2229636.072,5186004.972,54.75727854,37.18798461
2223:048426.200,2938716.527,2229636.071,5186004.968,54.75727853,37.18798461
2223:048426.400,2938716.527,2229636.072,5186004.968,54.75727852,37.18798460
2223:048426.600,2938716.526,2229636.073,5186004.967,54.75727851,37.18798462
2223:048426.800,2938716.527,2229636.073,5186004.967,54.75727851,37.18798463
2223:048427.000,2938716.528,2229636.074,5186004.967,54.75727851,37.18798462
2223:048427.200,2938716.528,2229636.075,5186004.969,54.75727850,37.18798463
2223:048427.400,2938716.526,2229636.074,5186004.970,54.75727851,37.18798464
2223:048427.600,2938716.527,2229636.074,5186004.971,54.75727852,37.18798464
2223:048427.800,2938716.527,2229636.075,5186004.972,54.75727852,37.18798464
2223:048428.000,2938716.527,2229636.076,5186004.973,54.75727852,37.18798465
2223:048428.200,2938716.527,2229636.076,5186004.975,54.75727853,37.18798466
2223:048428.400,2938716.527,2229636.075,5186004.972,54.75727853,37.18798467
2223:048428.600,2938716.528,2229636.076,5186004.972,54.75727852,37.18798465
2223:048428.800,2938716.527,2229636.077,5186004.973,54.75727851,37.18798465
2223:048429.000,2938716.528,2229636.075,5186004.972,54.75727852,37.18798467
2223:048429.200,2938716.527,2229636.076,5186004.970,54.75727852,37.18798465
2223:048429.400,2938716.525,2229636.073,5186004.967,54.75727851,37.18798466
2223:048429.600,2938716.524,2229636.074,5186004.966,54.75727852,37.18798465
2223:048429.800,2938716.524,2229636.074,5186004.965,54.75727851,37.18798466
2223:048430.000,2938716.524,2229636.073,5186004.963,54.75727851,37.18798467
2223:048430.200,2938716.525,2229636.075,5186004.966,54.75727850,37.18798466
2223:048430.400,2938716.525,2229636.075,5186004.967,54.75727850,37.18798467
2223:048430.600,2938716.525,2229636.075,5186004.968,54.75727851,37.18798468
2223:048430.800,2938716.525,2229636.074,5186004.969,54.75727851,37.18798468
2223:048431.000,2938716.526,2229636.076,5186004.970,54.75727852,37.18798466
2223:048431.200,2938716.526,2229636.074,5186004.969,54.75727852,37.18798468
2223:048431.400,2938716.525,2229636.074,5186004.968,54.75727852,37.18798465
2223:048431.600,2938716.524,2229636.073,5186004.968,54.75727852,37.18798466
2223:048431.800,2938716.525,2229636.074,5186004.968,54.75727852,37.18798466
2223:048432.000,2938716.525,2229636.075,5186004.968,54.75727852,37.18798465
2223:048432.200,2938716.524,2229636.073,5186004.967,54.75727852,37.18798467
2223:048432.400,2938716.525,2229636.073,5186004.966,54.75727852,37.18798466
2223:048432.600,2938716.525,2229636.073,5186004.967,54.75727852,37.18798464
2223:048432.800,2938716.526,2229636.075,5186004.965,54.75727852,37.18798465
2223:048433.000,2938716.525,2229636.072,5186004.963,54.75727849,37.18798465
2223:048433.200,2938716.524,2229636.071,5186004.964,54.75727850,37.18798464
2223:048433.400,2938716.524,2229636.073,5186004.966,54.75727852,37.18798463
2223:048433.600,2938716.524,2229636.074,5186004.967,54.75727852,37.18798466
2223:048433.800,2938716.524,2229636.075,5186004.966,54.75727852,37.18798466
2223:048434.000,2938716.524,2229636.075,5186004.965,54.75727851,37.18798468
2223:048434.200,2938716.525,2229636.075,5186004.964,54.75727850,37.18798468
2223:048434.400,2938716.524,2229636.075,5186004.965,54.75727850,37.18798467
2223:048434.600,2938716.525,2229636.075,5186004.963,54.75727850,37.18798468
2223:048434.800,2938716.526,2229636.077,5186004.967,54.75727849,37.18798467
2223:048435.000,2938716.526,2229636.076,5186004.967,54.75727850,37.18798469
2223:048435.200,2938716.525,2229636.074,5186004.965,54.75727849,37.18798467
2223:048435.400,2938716.525,2229636.073,5186004.964,54.75727851,37.18798466
2223:048435.600,2938716.525,2229636.074,5186004.965,54.75727850,37.18798464
2223:048435.800,2938716.525,2229636.074,5186004.967,54.75727851,37.18798466
2223:048436.000,2938716.524,2229636.073,5186004.966,54.75727851,37.18798466
2223:048436.200,2938716.526,2229636.074,5186004.968,54.75727852,37.18798466
2223:048436.400,2938716.525,2229636.074,5186004.968,54.75727851,37.18798465
2223:048436.600,2938716.527,2229636.076,5186004.968,54.75727852,37.18798465
2223:048436.800,2938716.526,2229636.077,5186004.969,54.75727850,37.18798467
2223:048437.000,2938716.527,2229636.076,5186004.967,54.75727851,37.18798468
2223:048437.200,2938716.527,2229636.076,5186004.968,54.75727850,37.18798466
2223:048437.400,2938716.526,2229636.075,5186004.968,54.75727850,37.18798466
2223:048437.600,2938716.525,2229636.075,5186004.969,54.75727851,37.18798466
2223:048437.800,2938716.525,2229636.076,5186004.968,54.75727851,37.18798468
2223:048438.000,2938716.526,2229636.075,5186004.967,54.75727851,37.18798468
2223:048438.200,2938716.525,2229636.075,5186004.966,54.75727851,37.18798466
2223:048438.400,2938716.526,2229636.077,5186004.967,54.75727850,37.18798468
2223:048438.600,2938716.525,2229636.077,5186004.967,54.75727850,37.18798468
2223:048438.800,2938716.525,2229636.079,5186004.970,54.75727850,37.18798469
2223:048439.000,2938716.524,2229636.079,5186004.968,54.75727851,37.18798472
2223:048439.200,2938716.523,2229636.076,5186004.965,54.75727850,37.18798472
2223:048439.400,2938716.523,2229636.074,5186004.965,54.75727851,37.18798470
2223:048439.600,2938716.522,2229636.074,5186004.963,54.75727852,37.18798468
2223:048439.800,2938716.522,2229636.071,5186004.961,54.75727851,37.18798468
2223:048440.000,2938716.522,2229636.073,5186004.961,54.75727852,37.18798466
2223:048440.200,2938716.523,2229636.073,5186004.965,54.75727851,37.18798468
2223:048440.400,2938716.525,2229636.074,5186004.967,54.75727852,37.18798466
2223:048440.600,2938716.525,2229636.073,5186004.967,54.75727852,37.18798466
2223:048440.800,2938716.525,2229636.073,5186004.970,54.75727852,37.18798465
2223:048441.000,2938716.527,2229636.074,5186004.972,54.75727853,37.18798465
2223:048441.200,2938716.525,2229636.073,5186004.965,54.75727853,37.18798464
2223:048441.400,2938716.525,2229636.073,5186004.963,54.75727851,37.18798465
2223:048441.600,2938716.524,2229636.074,5186004.962,54.75727850,37.18798465
2223:048441.800,2938716.523,2229636.074,5186004.961,54.75727849,37.18798468
2223:048442.000,2938716.523,2229636.074,5186004.961,54.75727849,37.18798468
2223:048442.200,2938716.525,2229636.075,5186004.964,54.75727850,37.18798468
2223:048442.400,2938716.525,2229636.080,5186004.973,54.75727849,37.18798468
2223:048442.600,2938716.526,2229636.078,5186004.969,54.75727852,37.18798473
2223:048442.800,2938716.525,2229636.078,5186004.968,54.75727850,37.18798470
2223:048443.000,2938716.525,2229636.078,5186004.969,54.75727850,37.18798470
2223:048443.200,2938716.523,2229636.077,5186004.968,54.75727851,37.18798471
2223:048443.400,2938716.523,2229636.077,5186004.971,54.75727852,37.18798471
2223:048443.600,2938716.522,2229636.075,5186004.969,54.75727853,37.18798472
2223:048443.800,2938716.521,2229636.075,5186004.969,54.75727854,37.18798470
2223:048444.000,2938716.520,2229636.073,5186004.970,54.75727854,37.18798471
2223:048444.200,2938716.522,2229636.074,5186004.967,54.75727856,37.18798469
2223:048444.400,2938716.524,2229636.077,5186004.969,54.75727853,37.18798469
2223:048444.600,2938716.525,2229636.076,5186004.966,54.75727852,37.18798471
2223:048444.800,2938716.524,2229636.076,5186004.965,54.75727850,37.18798468
2223:048445.000,2938716.525,2229636.076,5186004.966,54.75727850,37.18798469
