GPS time,X,Y,Z,Lat,Lon
2223:048973.600,2938713.408,2229642.497,5186003.640,54.75726137,37.18809338
2223:048973.800,2938713.441,2229642.504,5186003.619,54.75726137,37.18809340
2223:048974.000,2938713.548,2229642.490,5186003.579,54.75726104,37.18809317
2223:048974.200,2938713.578,2229642.512,5186003.562,54.75726027,37.18809200
2223:048974.400,2938713.643,2229642.528,5186003.521,54.75725991,37.18809199
2223:048974.600,2938713.701,2229642.530,5186003.490,54.75725924,37.18809158
2223:048974.800,2938713.748,2229642.545,5186003.452,54.75725873,37.18809106
2223:048975.000,2938713.779,2229642.555,5186003.420,54.75725820,37.18809080
2223:048975.200,2938713.847,2229642.526,5186003.418,54.75725780,37.18809064
2223:048975.400,2938713.933,2229642.517,5186003.374,54.75725753,37.18808963
2223:048975.600,2938713.956,2229642.535,5186003.349,54.75725683,37.18808872
2223:048975.800,2938713.985,2229642.565,5186003.304,54.75725649,37.18808873
2223:048976.000,2938714.020,2229642.554,5186003.286,54.75725596,37.18808882
2223:048976.200,2938714.049,2229642.565,5186003.269,54.75725571,37.18808836
2223:048976.400,2938714.078,2229642.581,5186003.257,54.75725540,37.18808823
2223:048976.600,2938714.075,2229642.581,5186003.261,54.75725510,37.18808816
2223:048976.800,2938714.073,2229642.576,5186003.278,54.75725513,37.18808818
2223:048977.000,2938714.059,2229642.559,5186003.264,54.75725526,37.18808813
2223:048977.200,2938714.055,2229642.557,5186003.261,54.75725534,37.18808806
2223:048977.400,2938714.061,2229642.561,5186003.263,54.75725536,37.18808808
2223:048977.600,2938714.059,2229642.560,5186003.261,54.75725531,37.18808807
2223:048977.800,2938714.059,2229642.557,5186003.260,54.75725532,37.18808807
2223:048978.000,2938714.057,2229642.556,5186003.258,54.75725533,37.18808804
2223:048978.200,2938714.059,2229642.559,5186003.260,54.75725533,37.18808804
2223:048978.400,2938714.057,2229642.558,5186003.259,54.75725532,37.18808805
2223:048978.600,2938714.058,2229642.557,5186003.259,54.75725533,37.18808805
2223:048978.800,2938714.058,2229642.557,5186003.262,54.75725533,37.18808804
2223:048979.000,2938714.057,2229642.556,5186003.263,54.75725535,37.18808804
2223:048979.200,2938714.057,2229642.557,5186003.255,54.75725535,37.18808804
2223:048979.400,2938714.055,2229642.556,5186003.251,54.75725532,37.18808806
2223:048979.600,2938714.055,2229642.555,5186003.247,54.75725531,37.18808805
2223:048979.800,2938714.055,2229642.558,5186003.247,54.75725530,37.18808805
2223:048980.000,2938714.053,2229642.556,5186003.248,54.75725528,37.18808808
2223:048980.200,2938714.052,2229642.555,5186003.248,54.75725531,37.18808807
2223:048980.400,2938714.053,2229642.557,5186003.248,54.75725531,37.18808807
2223:048980.600,2938714.053,2229642.557,5186003.247,54.75725530,37.18808809
2223:048980.800,2938714.053,2229642.559,5186003.246,54.75725530,37.18808809
2223:048981.000,2938714.054,2229642.560,5186003.245,54.75725528,37.18808810
2223:048981.200,2938714.052,2229642.558,5186003.248,54.75725527,37.18808811
2223:048981.400,2938714.053,2229642.559,5186003.248,54.75725530,37.18808811
2223:048981.600,2938714.054,2229642.559,5186003.249,54.75725529,37.18808811
2223:048981.800,2938714.053,2229642.559,5186003.248,54.75725530,37.18808811
2223:048982.000,2938714.054,2229642.560,5186003.248,54.75725529,37.18808811
2223:048982.200,2938714.054,2229642.561,5186003.250,54.75725528,37.18808811
2223:048982.400,2938714.054,2229642.560,5186003.249,54.75725529,37.18808812
2223:048982.600,2938714.053,2229642.559,5186003.247,54.75725529,37.18808811
2223:048982.800,2938714.053,2229642.558,5186003.249,54.75725529,37.18808811
2223:048983.000,2938714.054,2229642.559,5186003.249,54.75725530,37.18808810
2223:048983.200,2938714.053,2229642.559,5186003.250,54.75725530,37.18808810
2223:048983.400,2938714.054,2229642.559,5186003.251,54.75725531,37.18808811
2223:048983.600,2938714.053,2229642.559,5186003.250,54.75725531,37.18808811
2223:048983.800,2938714.053,2229642.558,5186003.250,54.75725531,37.18808810
